Name,Owner,Stars,Forks,Last Updated,License,URL
hadoop,apache,14972,8959,2025-03-12T09:56:20Z,Apache License 2.0,https://github.com/apache/hadoop
questdb,questdb,14957,1216,2025-03-12T19:17:56Z,Apache License 2.0,https://github.com/questdb/questdb
bytecode-viewer,Konloch,14893,1168,2025-03-09T06:10:18Z,GNU General Public License v3.0,https://github.com/Konloch/bytecode-viewer
flink-learning,zhisheng17,14684,3925,2025-03-12T03:53:35Z,Apache License 2.0,https://github.com/zhisheng17/flink-learning
CircleImageView,hdodenhof,14544,3117,2024-05-03T11:20:49Z,Apache License 2.0,https://github.com/hdodenhof/CircleImageView
pulsar,apache,14488,3621,2025-03-12T05:56:42Z,Apache License 2.0,https://github.com/apache/pulsar
QMUI_Android,Tencent,14475,2679,2024-11-05T06:18:02Z,Other,https://github.com/Tencent/QMUI_Android
ARouter,alibaba,14474,2617,2023-09-11T06:07:41Z,Apache License 2.0,https://github.com/alibaba/ARouter
vert.x,eclipse-vertx,14424,2086,2025-03-12T15:31:48Z,Other,https://github.com/eclipse-vertx/vert.x
logstash,elastic,14376,3516,2025-03-12T18:18:32Z,Other,https://github.com/elastic/logstash
jd-gui,java-decompiler,14364,2415,2024-07-08T18:45:59Z,GNU General Public License v3.0,https://github.com/java-decompiler/jd-gui
Arduino,arduino,14273,6998,2024-10-18T16:32:19Z,Other,https://github.com/arduino/Arduino
quarkus,quarkusio,14194,2779,2025-03-12T14:37:24Z,Apache License 2.0,https://github.com/quarkusio/quarkus
neo4j,neo4j,13943,2420,2025-03-11T13:55:16Z,GNU General Public License v3.0,https://github.com/neo4j/neo4j
supertokens-core,supertokens,13921,565,2025-03-12T09:31:46Z,Other,https://github.com/supertokens/supertokens-core
deeplearning4j,deeplearning4j,13848,3840,2025-03-11T12:15:34Z,Apache License 2.0,https://github.com/deeplearning4j/deeplearning4j
jib,GoogleContainerTools,13826,1440,2025-03-12T18:46:25Z,Apache License 2.0,https://github.com/GoogleContainerTools/jib
onedev,theonedev,13763,883,2025-03-12T14:01:14Z,MIT License,https://github.com/theonedev/onedev
zuul,Netflix,13643,2407,2025-03-12T16:22:09Z,Apache License 2.0,https://github.com/Netflix/zuul
druid,apache,13634,3730,2025-03-12T11:57:43Z,Apache License 2.0,https://github.com/apache/druid
spring-analysis,seaswalker,13603,4184,2023-03-24T12:08:27Z,N/A,https://github.com/seaswalker/spring-analysis
AndroidAutoSize,JessYanCoding,13582,1986,2023-05-28T15:08:32Z,Apache License 2.0,https://github.com/JessYanCoding/AndroidAutoSize
pinpoint,pinpoint-apm,13536,3773,2025-03-12T09:22:21Z,Apache License 2.0,https://github.com/pinpoint-apm/pinpoint
tink,tink-crypto,13521,1185,2024-04-17T11:08:35Z,Apache License 2.0,https://github.com/tink-crypto/tink
piggymetrics,sqshq,13407,6194,2024-05-17T09:38:48Z,MIT License,https://github.com/sqshq/piggymetrics
PictureSelector,LuckSiege,13402,3033,2024-05-11T03:14:44Z,Apache License 2.0,https://github.com/LuckSiege/PictureSelector
dolphinscheduler,apache,13316,4729,2025-03-07T12:13:49Z,Apache License 2.0,https://github.com/apache/dolphinscheduler
doris,apache,13308,3421,2025-03-12T15:53:13Z,Apache License 2.0,https://github.com/apache/doris
zaproxy,zaproxy,13280,2334,2025-03-11T09:17:17Z,Apache License 2.0,https://github.com/zaproxy/zaproxy
mit-deep-learning-book-pdf,janishar,13190,2768,2023-10-09T08:55:12Z,N/A,https://github.com/janishar/mit-deep-learning-book-pdf
Java,DuGuQiuBai,13177,5094,2024-07-20T03:42:57Z,Artistic License 2.0,https://github.com/DuGuQiuBai/Java
mall-learning,macrozheng,13078,8332,2024-09-15T01:05:39Z,N/A,https://github.com/macrozheng/mall-learning
lombok,projectlombok,13061,2425,2025-03-07T08:19:33Z,Other,https://github.com/projectlombok/lombok
banner,youth5201314,12963,2521,2024-01-11T08:41:56Z,Apache License 2.0,https://github.com/youth5201314/banner
languagetool,languagetool-org,12866,1421,2025-03-12T15:59:16Z,GNU Lesser General Public License v2.1,https://github.com/languagetool-org/languagetool
conductor,Netflix,12792,2339,2023-12-22T23:40:04Z,Apache License 2.0,https://github.com/Netflix/conductor
stetho,facebook,12689,1129,2024-10-26T03:44:45Z,MIT License,https://github.com/facebook/stetho
greenDAO,greenrobot,12625,2888,2024-04-30T05:30:59Z,N/A,https://github.com/greenrobot/greenDAO
dex2jar,pxb1988,12580,2145,2024-07-21T06:08:25Z,Apache License 2.0,https://github.com/pxb1988/dex2jar
guice,google,12578,1671,2025-03-11T18:39:05Z,Apache License 2.0,https://github.com/google/guice
Matisse,zhihu,12547,2062,2023-05-15T09:55:57Z,Apache License 2.0,https://github.com/zhihu/Matisse
cryptomator,cryptomator,12506,1078,2025-03-12T17:28:19Z,GNU General Public License v3.0,https://github.com/cryptomator/cryptomator
eureka,Netflix,12501,3760,2025-02-26T22:08:14Z,Apache License 2.0,https://github.com/Netflix/eureka
spring-boot-admin,codecentric,12492,3077,2025-03-12T16:54:04Z,Apache License 2.0,https://github.com/codecentric/spring-boot-admin
zookeeper,apache,12406,7272,2025-03-11T19:22:34Z,Apache License 2.0,https://github.com/apache/zookeeper
AndroidSwipeLayout,daimajia,12399,2670,2023-11-10T08:30:13Z,MIT License,https://github.com/daimajia/AndroidSwipeLayout
Mybatis-PageHelper,pagehelper,12280,3133,2024-09-30T09:24:35Z,MIT License,https://github.com/pagehelper/Mybatis-PageHelper
COLA,alibaba,12273,3135,2024-11-26T06:26:09Z,GNU Lesser General Public License v2.1,https://github.com/alibaba/COLA
mall-swarm,macrozheng,12173,5345,2025-01-26T01:53:12Z,Apache License 2.0,https://github.com/macrozheng/mall-swarm
jedis,redis,11988,3883,2025-03-10T11:26:55Z,MIT License,https://github.com/redis/jedis
uCrop,Yalantis,11955,2189,2024-11-29T13:41:18Z,N/A,https://github.com/Yalantis/uCrop
metersphere,metersphere,11889,2644,2025-03-12T11:20:19Z,GNU General Public License v3.0,https://github.com/metersphere/metersphere
VasSonic,Tencent,11848,1616,2023-04-07T11:37:52Z,Other,https://github.com/Tencent/VasSonic
matrix,Tencent,11757,1894,2024-07-23T10:46:08Z,Other,https://github.com/Tencent/matrix
android-interview-questions,amitshekhariitbhu,11713,2296,2025-03-11T15:57:59Z,Apache License 2.0,https://github.com/amitshekhariitbhu/android-interview-questions
grpc-java,grpc,11625,3884,2025-03-12T08:39:49Z,Apache License 2.0,https://github.com/grpc/grpc-java
webmagic,code4craft,11516,4175,2025-02-13T14:51:18Z,Apache License 2.0,https://github.com/code4craft/webmagic
realm-java,realm,11483,1754,2025-01-10T23:09:27Z,Apache License 2.0,https://github.com/realm/realm-java
CtCI-6th-Edition,careercup,11400,4420,2024-08-04T15:06:57Z,N/A,https://github.com/careercup/CtCI-6th-Edition
newbee-mall,newbee-ltd,11259,2728,2023-10-09T05:29:29Z,GNU General Public License v3.0,https://github.com/newbee-ltd/newbee-mall
kkFileView,kekingcn,11252,2821,2025-01-22T03:10:54Z,N/A,https://github.com/kekingcn/kkFileView
PermissionsDispatcher,permissions-dispatcher,11229,1440,2023-11-10T04:44:43Z,Apache License 2.0,https://github.com/permissions-dispatcher/PermissionsDispatcher
xManager,Team-xManager,11196,305,2025-01-08T23:33:19Z,GNU General Public License v3.0,https://github.com/Team-xManager/xManager
OpenRefine,OpenRefine,11174,2025,2025-03-10T20:46:06Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://github.com/OpenRefine/OpenRefine
debezium,debezium,11164,2616,2025-03-12T11:33:12Z,Apache License 2.0,https://github.com/debezium/debezium
interview,mission-peace,11136,5174,2024-07-31T18:47:32Z,Apache License 2.0,https://github.com/mission-peace/interview
plantuml,plantuml,11099,1015,2025-03-12T19:15:26Z,Other,https://github.com/plantuml/plantuml
FlycoTabLayout,H07000223,11087,2416,2023-05-28T16:32:48Z,MIT License,https://github.com/H07000223/FlycoTabLayout
FileDownloader,lingochamp,11078,2209,2024-08-04T01:25:26Z,Apache License 2.0,https://github.com/lingochamp/FileDownloader
jsoup,jhy,11077,2218,2025-03-12T02:02:11Z,MIT License,https://github.com/jhy/jsoup
cas,apereo,11041,3947,2025-03-12T16:40:28Z,Apache License 2.0,https://github.com/apereo/cas
SmarterStreaming,daniulive,11015,2759,2025-03-11T15:29:35Z,N/A,https://github.com/daniulive/SmarterStreaming
trino,trinodb,10978,3129,2025-03-12T19:17:12Z,Apache License 2.0,https://github.com/trinodb/trino
javapoet,square,10851,1387,2024-10-10T21:04:58Z,Apache License 2.0,https://github.com/square/javapoet
platform_frameworks_base,aosp-mirror,10705,6314,2025-03-12T18:08:32Z,Other,https://github.com/aosp-mirror/platform_frameworks_base
jvm,doocs,10643,2288,2025-03-06T06:27:09Z,Creative Commons Attribution Share Alike 4.0 International,https://github.com/doocs/jvm
android-async-http,android-async-http,10634,4085,2023-04-17T14:55:24Z,Apache License 2.0,https://github.com/android-async-http/android-async-http
Paper,PaperMC,10620,2462,2025-03-12T14:05:37Z,Other,https://github.com/PaperMC/Paper
Java-WebSocket,TooTallNate,10613,2590,2025-02-17T08:49:17Z,MIT License,https://github.com/TooTallNate/Java-WebSocket
clojure,clojure,10570,1470,2025-02-25T21:05:01Z,N/A,https://github.com/clojure/clojure
jjwt,jwtk,10535,1350,2024-09-24T14:17:15Z,Apache License 2.0,https://github.com/jwtk/jjwt
pkl,apple,10533,295,2025-03-12T17:24:38Z,Apache License 2.0,https://github.com/apple/pkl
auto,google,10484,1205,2025-03-04T16:04:12Z,Apache License 2.0,https://github.com/google/auto
VirtualApp,asLody,10435,2935,2025-02-26T07:05:35Z,N/A,https://github.com/asLody/VirtualApp
kafka-ui,provectus,10425,1250,2024-07-26T08:00:52Z,Apache License 2.0,https://github.com/provectus/kafka-ui
datahub,datahub-project,10395,3065,2025-03-12T19:07:14Z,Apache License 2.0,https://github.com/datahub-project/datahub
OpenSearch,opensearch-project,10334,1988,2025-03-11T23:39:32Z,Apache License 2.0,https://github.com/opensearch-project/OpenSearch
MVPArms,JessYanCoding,10280,2384,2023-03-22T06:53:43Z,Apache License 2.0,https://github.com/JessYanCoding/MVPArms
Activiti,Activiti,10260,6967,2025-03-12T14:29:58Z,Apache License 2.0,https://github.com/Activiti/Activiti
resilience4j,resilience4j,10028,1377,2025-02-24T08:08:48Z,Apache License 2.0,https://github.com/resilience4j/resilience4j
lawnchair,LawnchairLauncher,9948,1263,2025-03-09T15:36:08Z,Other,https://github.com/LawnchairLauncher/lawnchair
Aegis,beemdevelopment,9924,415,2025-02-25T17:22:19Z,GNU General Public License v3.0,https://github.com/beemdevelopment/Aegis
zfile,zfile-dev,9917,1861,2024-10-26T02:17:40Z,MIT License,https://github.com/zfile-dev/zfile
easypermissions,googlesamples,9894,1457,2023-08-01T18:11:12Z,Apache License 2.0,https://github.com/googlesamples/easypermissions
aws-doc-sdk-examples,awsdocs,9872,5731,2025-03-12T14:37:59Z,Apache License 2.0,https://github.com/awsdocs/aws-doc-sdk-examples
paascloud-master,paascloud,9870,4305,2023-10-09T02:24:04Z,Apache License 2.0,https://github.com/paascloud/paascloud-master
spider-flow,ssssssss-team,9842,1904,2023-06-14T22:27:23Z,MIT License,https://github.com/ssssssss-team/spider-flow
JsBridge,uknownothingsnow,9820,2019,2024-05-13T05:14:53Z,N/A,https://github.com/uknownothingsnow/JsBridge
CoreNLP,stanfordnlp,9813,2712,2025-03-09T00:46:52Z,GNU General Public License v3.0,https://github.com/stanfordnlp/CoreNLP
MagicIndicator,hackware1993,9765,1552,2024-12-07T07:46:58Z,N/A,https://github.com/hackware1993/MagicIndicator
AVLoadingIndicatorView,HarlonWang,9753,1893,2023-04-06T06:05:06Z,N/A,https://github.com/HarlonWang/AVLoadingIndicatorView
Fragmentation,YoKeyword,9727,2114,2024-05-30T13:05:05Z,Apache License 2.0,https://github.com/YoKeyword/Fragmentation
starrocks,StarRocks,9673,1941,2025-03-12T18:02:49Z,Apache License 2.0,https://github.com/StarRocks/starrocks
spark,perwendel,9654,1566,2023-10-08T09:20:37Z,Apache License 2.0,https://github.com/perwendel/spark
react-native-camera,react-native-camera,9648,3539,2023-06-07T10:03:10Z,N/A,https://github.com/react-native-camera/react-native-camera
spring-boot-api-project-seed,lihengming,9618,3783,2023-12-17T23:35:07Z,N/A,https://github.com/lihengming/spring-boot-api-project-seed
feign,OpenFeign,9605,1939,2025-03-12T16:10:03Z,Apache License 2.0,https://github.com/OpenFeign/feign
android-Ultra-Pull-To-Refresh,liaohuqiu,9581,2651,2023-05-28T15:12:24Z,MIT License,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh
android-gif-drawable,koral--,9579,1780,2024-07-31T08:56:47Z,Other,https://github.com/koral--/android-gif-drawable
Mycat-Server,MyCATApache,9540,3847,2024-01-15T06:17:13Z,GNU General Public License v2.0,https://github.com/MyCATApache/Mycat-Server
GmsCore,microg,9522,1831,2025-03-12T17:36:45Z,Apache License 2.0,https://github.com/microg/GmsCore
Signal-Server,signalapp,9412,2214,2025-03-11T16:43:37Z,GNU Affero General Public License v3.0,https://github.com/signalapp/Signal-Server
